"session","year","issue","n_members","asean_mean","asean_sd","asean_min","asean_max","asean_range","us_idealpoint","china_idealpoint","mean_dist_us","mean_dist_china"
47,1992,"Middle East",9,-0.560707866666667,0.323619309957676,-0.8122522,-0.03673138,0.77552082,2.942785,-0.7888054,3.50349286666667,0.228097533333333
47,1992,"Non-Nuclear",10,-0.78997256,0.419549295384499,-1.362997,-0.1240379,1.2389591,2.943147,-1.373362,3.73311956,0.58338944
47,1992,"Nuclear",9,-0.592489102222222,0.321172969698497,-1.002056,-0.01959392,0.98246208,3.374019,0.2822124,3.96650810222222,0.874701502222222
48,1993,"All",10,-0.953305,0.41670183940904,-1.610302,-0.2065345,1.4037675,2.955602,-1.396082,3.908907,0.442777
48,1993,"Human Rights",10,-1.009446169,0.552581722907435,-1.690111,0.03563981,1.72575081,2.82987,-1.663223,3.839316169,0.653776831
48,1993,"Important Votes",10,-1.01880845,0.650221731219157,-1.91173,0.2783514,2.1900814,3.279363,-1.825468,4.29817145,0.80665955
48,1993,"Middle East",10,-0.65523867,0.308316477534569,-0.9156296,-0.1735049,0.7421247,3.114255,-0.9012409,3.76949367,0.24600223
48,1993,"Non-Nuclear",10,-0.93798714,0.420719505356867,-1.525585,-0.1941095,1.3314755,2.923423,-1.538445,3.86141014,0.60045786
48,1993,"Nuclear",10,-0.622852334,0.310737525113577,-1.056742,-0.08441954,0.97232246,3.358857,0.1525422,3.981709334,0.775394534
49,1994,"All",10,-0.88717116,0.508463191787851,-1.658764,-0.1120619,1.5467021,3.009216,-1.634709,3.89638716,0.74753784
49,1994,"Human Rights",10,-1.0050727,0.575107216965608,-1.758835,-0.1016117,1.6572233,3.102965,-1.877995,4.1080377,0.8729223
49,1994,"Important Votes",9,-0.974108466666667,0.757265500893364,-2.100567,0.1897314,2.2902984,3.459286,-2.140734,4.43339446666667,1.16662553333333
49,1994,"Middle East",10,-0.74246413,0.375582860831701,-1.062569,-0.1225778,0.9399912,3.711992,-1.004672,4.45445613,0.26220787
49,1994,"Non-Nuclear",10,-0.85630336,0.543239579503153,-1.659452,-0.1367727,1.5226793,3.07938,-1.687723,3.93568336,0.83141964
49,1994,"Nuclear",9,-0.726165,0.280633229513154,-1.124141,-0.227088,0.897053,3.247449,-0.101077,3.973614,0.625088
50,1995,"All",10,-0.897289246,0.512511954824453,-1.545748,-0.05979776,1.48595024,3.130082,-1.502986,4.027371246,0.605696754
50,1995,"Human Rights",10,-0.96025828,0.660409701718153,-1.892878,-0.0799264,1.8129516,3.471337,-2.026055,4.43159528,1.06579672
50,1995,"Important Votes",10,-0.82988964,0.495680322115176,-1.626201,-0.1065888,1.5196122,2.992701,-1.668094,3.82259064,0.83820436
50,1995,"Middle East",10,-0.81740023,0.473995783064693,-1.154872,0.2073574,1.3622294,3.866298,-1.136166,4.68369823,0.31876577
50,1995,"Non-Nuclear",10,-0.872682734,0.549064682510251,-1.649423,-0.01239724,1.63702576,3.284506,-1.643561,4.157188734,0.770878266
50,1995,"Nuclear",10,-0.71112212,0.303205706676528,-1.228782,-0.2501927,0.9785893,3.100058,-0.2559146,3.81118012,0.45520752
51,1996,"All",10,-0.89067964,0.511615895473426,-1.682332,-0.1171533,1.5651787,3.14783,-1.268106,4.03850964,0.37742636
51,1996,"Human Rights",10,-0.877950586,0.568416146343219,-1.838389,-0.06112996,1.77725904,3.438735,-1.96785,4.316685586,1.089899414
51,1996,"Important Votes",10,-0.87640407,0.460519582962243,-1.606468,-0.2886211,1.3178469,2.978976,-1.674213,3.85538007,0.79780893
51,1996,"Middle East",10,-0.776635763,0.43223781641823,-1.090276,-0.03595664,1.05431936,4.117969,-1.028187,4.894604763,0.251551237
51,1996,"Non-Nuclear",10,-0.88083867,0.484761929833354,-1.620928,-0.2011601,1.4197679,3.406155,-1.369822,4.28699367,0.48898333
51,1996,"Nuclear",10,-0.72290304,0.310007691805066,-1.288867,-0.2325336,1.0563334,2.949102,-0.3518149,3.67200504,0.37108814
52,1997,"All",9,-1.01991084444444,0.391831265552655,-1.55807,-0.5714862,0.9865838,2.983911,-1.145413,4.00382184444444,0.125502155555556
52,1997,"Human Rights",9,-0.972668766666667,0.459188455568482,-1.750474,-0.4571426,1.2933314,3.380132,-1.853405,4.35280076666667,0.880736233333333
52,1997,"Important Votes",9,-1.10188684444444,0.417577561310214,-1.790374,-0.5514246,1.2389494,3.019311,-1.808112,4.12119784444444,0.706225155555555
52,1997,"Middle East",9,-0.847083016444444,0.373854221989061,-1.086409,0.009318852,1.095727852,4.164798,-1.053192,5.01188101644444,0.206108983555556
52,1997,"Non-Nuclear",9,-1.06178731111111,0.372751605221263,-1.591598,-0.5883082,1.0032898,3.260079,-1.210441,4.32186631111111,0.148653688888889
52,1997,"Nuclear",9,-0.748250388888889,0.287505667167203,-1.263246,-0.3288244,0.9344216,2.482245,-0.3734804,3.23049538888889,0.374769988888889
53,1998,"All",9,-0.851363166666667,0.324037002129367,-1.311989,-0.2649548,1.0470342,2.814332,-0.4421162,3.66569516666667,0.409246966666667
53,1998,"Human Rights",9,-0.977587333333333,0.30219602399805,-1.450592,-0.5569243,0.8936677,2.950729,-1.647814,3.92831633333333,0.670226666666667
53,1998,"Important Votes",9,-1.04022432222222,0.326337249602921,-1.713231,-0.6114404,1.1017906,3.09124,-1.503338,4.13146432222222,0.463113677777778
53,1998,"Middle East",9,-0.757450533333333,0.348973473254232,-0.9615781,0.1155395,1.0771176,3.49087,-0.9322571,4.24832053333333,0.174806566666667
53,1998,"Non-Nuclear",9,-0.924899322222222,0.38641032993453,-1.425154,-0.2344937,1.1906603,3.009997,-1.116003,3.93489632222222,0.191103677777778
53,1998,"Nuclear",9,-0.712949777777778,0.252151560030266,-1.16508,-0.3623742,0.8027058,2.433795,0.01340842,3.14674477777778,0.726358197777778
54,1999,"All",10,-0.90129005,0.34913436376192,-1.474536,-0.3553609,1.1191751,2.681448,-0.6680064,3.58273805,0.23328365
54,1999,"Human Rights",10,-0.85221096,0.38172234987215,-1.589939,-0.3255332,1.2644058,2.75,-1.613756,3.60221096,0.76154504
54,1999,"Important Votes",10,-1.00699928,0.316955185707741,-1.693844,-0.5738593,1.1199847,3.466065,-1.270411,4.47306428,0.26341172
54,1999,"Middle East",10,-0.70135861,0.247938053513661,-0.8621835,-0.1496298,0.7125537,3.370431,-0.8779334,4.07178961,0.17657479
54,1999,"Non-Nuclear",10,-0.92547338,0.39447503484811,-1.532864,-0.3578825,1.1749815,2.815928,-1.231821,3.74140138,0.30634762
54,1999,"Nuclear",10,-0.66289414,0.255752996350738,-1.119654,-0.296964,0.82269,2.407476,0.1635209,3.07037014,0.82641504
55,2000,"All",10,-0.81804735,0.400801860834537,-1.369382,-0.1969106,1.1724714,2.664088,-0.7359335,3.48213535,0.0821138499999999
55,2000,"Human Rights",10,-0.714487121,0.462987755970834,-1.278014,-0.054587,1.223427,2.657247,-1.36047,3.371734121,0.645982879
55,2000,"Important Votes",10,-0.9890936,0.463990336626541,-1.544171,-0.2370234,1.3071476,3.372021,-1.105585,4.3611146,0.1164914
55,2000,"Middle East",10,-0.69580377,0.193429370376367,-0.8232023,-0.2158549,0.6073474,3.334748,-0.7666886,4.03055177,0.07088483
55,2000,"Non-Nuclear",10,-0.80889246,0.431264540849375,-1.436489,-0.1802079,1.2562811,2.791143,-1.4214,3.60003546,0.61250754
55,2000,"Nuclear",10,-0.66584943,0.223798258838957,-1.077228,-0.3601684,0.7170596,2.366315,0.2169673,3.03216443,0.88281673
56,2001,"All",10,-0.88895632,0.4169302539541,-1.403949,-0.2843417,1.1196073,2.655105,-0.5852949,3.54406132,0.30366142
